orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
-akake,-akake,8,n.end.,PROP,having (something); with (something or someone); h...
-akerre,-akerre,6,n.end.,VIC,"around (that area), in the vicinity of (that area)..."
-akerte,-akerte,NA,end.,PROP,"with, having"
-akeyene,-akeyene,NA,end.,again,"again, as well, too"
-akwele,-akwele,2,end.,sure,"of course, certainly; shows you are sure that what..."
-akwene,-akwene,NA,end.,QUOT,Goes on the end of words to show that you think th...
-akwerle,-akwerle,NA,n.end.,DEC,Goes on the end of pronouns to show that one of th...
-akweye,-akweye,NA,end.,uncer,"maybe, is it? Shows that you are not sure about th..."
-alantye,-alantye,NA,n.end.,state,"Goes on nominals that describe states, such as sle..."
-alkere,-alkere,NA,v.end.,SEQ,In sentences involving two actions it goes on the ...
-alyerre,"-alyerre |1, -alyerre |2",NA,n.end.,delicious,"delicious, favourite food. Goes on the end of word..."
-amerne,-amerne,4,n.end.,PL,"several, some, more than two. Goes on the end of n..."
-ampenye,-ampenye,2,n.end.,side,Goes on the end of direction words to mean on that...
-anenhe,-anenhe,NA,NA,NA,NA
-angene,-angene,5,n.end.,within,on that side or edge of something. Goes on nominal...
-angkarrenye,"-angkarrenye |1, -angkarrenye |2",NA,comp.,so_that,"so that he, she, or it (can do something). In sent..."
-angkelhayle+,-angkelhayle+,NA,v.end.,CAUS_QUICK,Goes on a few type I (transitive) verbs to show th...
-angkere,-angkere,4,n.end.,SUPER,with this quality or characteristic
-angketyarre,-angketyarre,NA,n.end.,much,Goes on the end of nominals to refer to a place or...
-angkwarre,-angkwarre,4,n.end.,PERL,"through, over, around, across, via"
-angkwere,-angkwere,NA,end.,resp,"Goes on third person pronouns (he, they, them etc...."
-angwen-angwene,-angwen-angwene,2,n.end.,DEC,respectful way of referring to someone who has pas...
-angwene,-angwene,2,n.end.,dear,respectful way of referring to someone who has pas...
-ankethene,-ankethene,NA,n.end.,kin_still,"Goes on the end of words for relations (mother, gr..."
-anthelke,-anthelke,NA,n.end.,symp,"When referring to people, Dreamings and places thi..."
-apakweye,-apakweye,NA,pr.end.,generation,Goes on the end of pronouns referring to more than...
-apantaye,-apantaye,NA,n.end.,est,Goes on the end of number words and some descripti...
-apapethe,-apapethe,NA,n.end.,I_believe,Goes on the end of possessive pronouns to show tha...
-apartentye,-apartentye,2,n.end.,imitation,"something which is an imitation of the real thing,..."
-apeke,-apeke,4,end.,maybe,"maybe, perhaps. Goes on the end of nominals and ve..."
-apenye,-apenye,7,end.,SEMB,like a thing; the same as something (in some way);...
-apertame,-apertame,8,end.,again,again
-aperte,-aperte,5,end.,only,"only this and nothing else, just that, exclusively..."
-arelhe,-arelhe,NA,n.end.,used_for,is used for (something); is for (something). Goes ...
-arenge,-arenge,5,n.end.,GEN,"belonging to, owned by. Equivalent to the possessi..."
-arenye,-arenye,5,n.end.,DEN,belonging (somewhere); usually found (there)
-arlenge,-arlenge,6,n.end.,COM,"with someone, in their company. Goes on nominals a..."
-arnenge,-arnenge,NA,n.end.,sibling,sibling or age-mate. Goes on the end of personal n...
-arre+,-arre+,6,n.end.,INCH,"become something, turn into something"
-arrelp-arrenke,-arrelp-arrenke,NA,vi.,INTR+do_once+INTR,suddenly become something or do something
-arrpanteye,-arrpanteye,3,n.end.,imitation,something which is an imitation of the real thing;...
-arrtyenke,-arrtyenke,NA,vt.,NA,Forms the second part of some verbs where the acti...
-artenge,-artenge,NA,n.end.,as_far_as,"until, as far as, not until. Goes on nominals afte..."
-artetye,-artetye,4,n.end.,TERM,as far as (somewhere); up to (somewhere). Goes on ...
-arteyarte,-arteyarte,NA,end.,best,the best (at doing something)
-arteyene,-arteyene,4,end.,already,already (did something). Shows that the person spo...
-artwemenye,-artwemenye,NA,n.,dec,Goes on the end of plural kin terms and pronouns t...
-artweye,-artweye,4,n.end.,owner,owning something. Goes on nominals after the <em>+...
-athathe,-athathe,5,n.end.,until,before (something gets to a state); until (somethi...
-atheke,-atheke,NA,n.end.,ward,in the general direction of; towards (a particular...
-athene,-athene,2,n.end.,mistaken,mistake something for something else.
-atherre,-atherre,6,n.end.,DU,two (of something)
-awarre,-awarre,2,n.end.,char,Goes on the end of some nominals to show that some...
-ayerre,-ayerre,NA,n.end.,RESP,Goes on the end of some words to show respect for ...
-ayethe,-ayethe,4,n.end.,means_of,in or using (a particular position or container). ...
-ayle+,-ayle+,4,end.,FACT,make something a certain way. Goes on nominals to ...
-aylenke,-aylenke,NA,NA,NA,make something a certain way
-aytenge,-aytenge,2,comp.,so_that,"so that, so (something else can happen). Goes on t..."
-aytenye,-aytenye,NA,n.end.,-ish,more (of a quality). Goes on the end of descriptiv...
-impentye,-impentye,NA,n.end.,covered,having lots of this. Goes on the end of some nomin...
-ine+,-ine+,5,end.,FACT,make something a certain way. Goes on nominals to ...
-inenge,-inenge,2,n.end.,COLL,"lots of, group of, many. Goes after the word for a..."
-iperre,"-iperre |1, -iperre |2",NA,n.end.,SEQ.STAT,"after being in that state, after a certain situati..."
-iperrenye,-iperrenye,NA,n.end.,kind_of,"some sort of, a kind of, not real; something that ..."
-itarre,-itarre,NA,n.end.,ADJ.INTS,Goes on a few descriptive words. It has no meaning...
-ketye,-ketye,11,n.end.,AVER,"because of (something bad or unwanted), on account..."
-kwange,-kwange,NA,end.,you_know,you know. Shows that you think the person you are ...
-marteye,-marteye,NA,n.end.,huge,very (big). Goes on the end of words that mean 'bi...
-mpange,-mpange,NA,n.,of_course,"of course, really. Gives emphasis, or stresses tha..."
-mpele,-mpele,6,end.,thus,"thus, like that, you see. Used to make a point, es..."
-ngenye,-ngenye,NA,n.end.,SUP,"the most, really, very. Goes on descriptive words ..."
-ngere,-ngere,NA,n.end.,times,"that many days, that many times. Goes on the end o..."
-ngetheye,-ngetheye,NA,NA,ABL,from. Goes on the end of short words.
-nhenge,-nhenge,NA,n.end.,DYAD,together. Goes on words that describe family relat...
-ntyere,-ntyere,NA,n.end.,TOP,Goes on the end of some tree names to mean a swamp...
-nyayne,-nyayne,2,n.end.,real,"true, really did happen"
-pange,-pange,3,end.,of_course,Way of asking a question when used with a rising t...
-penhe,-penhe,7,n.end.,SEQ,"after, from. Goes on nominals to mean after someth..."
-rarre,-rarre,3,comp.,whilst,"whilst, in the midst. Goes on words for things lik..."
-rlenye,-rlenye,NA,n.end.,area,Appears on some direction words and words for 'thi...
-rrewe,-rrewe,4,comp.,as_for,It was them who (did something). Goes on pronouns ...
-rtame,-rtame,2,end.,CNTR,A common ending that goes on the end of a word to ...
-rtetye,-rtetye,2,end.,contrary,the one that; the thing that. Shows that this is d...
-rteye,-rteye,6,end.,uncertain,Makes a question out of a statement.
-rwenge,"-rwenge |1, -rwenge |2",2,n.end.,times,Goes on number words to show the number of times s...
-tangkwe,-tangkwe,NA,NA,first,first time
-tangkwerle,-tangkwerle,7,part.,first,first time
-terape,-terape,NA,n.end.,perhaps,"might, perhaps, maybe. Only goes on kin terms and ..."
-theye,-theye,11,n.end.,ABL,"from, out of, away from"
-twene,-twene,NA,n.end.,not,"not something, isn't something, instead of somethi..."
-tyampe,-tyampe,4,n.end.,too,and
-wanenye,-wanenye,4,n.end.,NEG,"not, without. Goes on nominals to mean not having ..."
-warle,-warle,9,n.end.,ALL,"to, towards"
-wethewe,"-wethewe |1, -wethewe |2",3,n.end.,sore,Goes on body parts to show that this part is broke...
+ake,"+ake |1, +ake |2, +ake |3",NA,n.end.,DIR,"Goes on direction words such as 'north', 'south' t..."
+akeye,+akeye,NA,pr.end.,patri,Goes on the end of pronouns where there is more th...
+althe,+althe,NA,n.end.,CHAR,Goes on words for feelings and behaviour to descri...
+ame,+ame,2,end.,intens,Goes on the end of words to add emphasis to that w...
+ampe,+ampe,NA,n.end.,sweet,Part of some words which together refer to some so...
+ane,+ane,NA,end.,very,"really, very, too. Goes on the end of a word to ad..."
+ange,+ange,5,end.,INT,Goes on the end of the first word of a sentence to...
+angke,+angke,NA,pr.end.,SMSG,Goes on certain pronouns to show that the people a...
+ante,+ante,NA,NA,NA,"just, right, exact, only"
+anthe,+anthe,NA,pr.end.,OM,Part of some pronouns that shows that the people b...
+ape,+ape,NA,n.end.,EMPH,Goes on the end of words to add emphasis to what y...
+arle,"+arle |2, +arle |1",3,end.,DEF,Goes on the end of words to add emphasis
+arle-penhe,+arle-penhe,NA,comp.,REL-SEQ,Goes on the end of verbs to show that after this h...
+arle-watye,+arle-watye,NA,v.end.,since,"since, because. In sentences made up of two clause..."
+arre,+arre,6,comp.,REL,"that, who, which, what. In sentences made up of tw..."
+arre-penhe,+arre-penhe,NA,comp.,REL-SEQ,Goes on the end of verbs to show that after this h...
+arre+,+arre+,NA,v.end.,TR2,Appears in some type I (transitive) verbs; <strong...
+arte,+arte,4,n.end.,DEF,"Goes on question words, pronouns, numbers and word..."
+awe,"+awe |1, +awe |2",NA,end.,EXCL,Goes on the end of a word to add emphasis when you...
+aye,"+aye |1, +aye |2",3,end.,VOC,"Goes on the end of pronouns, names and other words..."
+ayte,+ayte,NA,n.end.,grub,Goes on the end of certain plant names to mean the...
+aytne+,+aytne+,NA,end.,sound,Forms part of some verbs whose meaning refers to a...
+ee,+ee,1,end.,EXT,Goes on the end of words to show that an action go...
+elpathe+,+elpathe+,NA,v.end.,do_once (?),Forms part of the meaning of some verbs. <strong>+...
+emarre+,+emarre+,NA,end.,NA,Goes on English words to make a Kaytetye intransit...
+emayle+,+emayle+,NA,n.end.,FACT,Goes on English words to make a Kaytetye transitiv...
+inge,+inge,2,end.,very,"really, very. Goes on the end of words to add emph..."
+l-alpe+,+l-alpe+,NA,v.end.,DO&RET,do and then go back. Goes on type I (transitive) v...
